cluster_id,family_id,family_name,family_sort_order
c_102,euv,EUV Lithography,1
c_104,euv,EUV Lithography,1
c_105,euv,EUV Lithography,1
c_106,euv,EUV Lithography,1
c_109,euv,EUV Lithography,1
c_110,euv,EUV Lithography,1
c_111,euv,EUV Lithography,1
c_112,euv,EUV Lithography,1
c_113,euv,EUV Lithography,1
c_115,euv,EUV Lithography,1
c_117,euv,EUV Lithography,1
c_120,euv,EUV Lithography,1
c_121,euv,EUV Lithography,1
c_122,euv,EUV Lithography,1
c_123,euv,EUV Lithography,1
c_124,euv,EUV Lithography,1
c_127,euv,EUV Lithography,1
c_129,euv,EUV Lithography,1
c_132,euv,EUV Lithography,1
c_135,euv,EUV Lithography,1
c_136,euv,EUV Lithography,1
c_138,euv,EUV Lithography,1
c_140,euv,EUV Lithography,1
c_141,euv,EUV Lithography,1
c_142,euv,EUV Lithography,1
c_144,euv,EUV Lithography,1
c_155,euv,EUV Lithography,1
c_156,euv,EUV Lithography,1
c_162,euv,EUV Lithography,1
c_165,euv,EUV Lithography,1
c_17,euv,EUV Lithography,1
c_171,euv,EUV Lithography,1
c_172,euv,EUV Lithography,1
c_173,euv,EUV Lithography,1
c_174,euv,EUV Lithography,1
c_22,euv,EUV Lithography,1
c_23,euv,EUV Lithography,1
c_29,euv,EUV Lithography,1
c_30,euv,EUV Lithography,1
c_34,euv,EUV Lithography,1
c_36,euv,EUV Lithography,1
c_37,euv,EUV Lithography,1
c_38,euv,EUV Lithography,1
c_41,euv,EUV Lithography,1
c_44,euv,EUV Lithography,1
c_45,euv,EUV Lithography,1
c_46,euv,EUV Lithography,1
c_51,euv,EUV Lithography,1
c_52,euv,EUV Lithography,1
c_53,euv,EUV Lithography,1
c_54,euv,EUV Lithography,1
c_59,euv,EUV Lithography,1
c_62,euv,EUV Lithography,1
c_64,euv,EUV Lithography,1
c_66,euv,EUV Lithography,1
c_67,euv,EUV Lithography,1
c_68,euv,EUV Lithography,1
c_69,euv,EUV Lithography,1
c_89,euv,EUV Lithography,1
c_91,euv,EUV Lithography,1
c_0,si_photonics,Silicon Photonics & Optical I/O,2
c_119,si_photonics,Silicon Photonics & Optical I/O,2
c_126,si_photonics,Silicon Photonics & Optical I/O,2
c_13,si_photonics,Silicon Photonics & Optical I/O,2
c_131,si_photonics,Silicon Photonics & Optical I/O,2
c_14,si_photonics,Silicon Photonics & Optical I/O,2
c_16,si_photonics,Silicon Photonics & Optical I/O,2
c_161,si_photonics,Silicon Photonics & Optical I/O,2
c_170,si_photonics,Silicon Photonics & Optical I/O,2
c_181,si_photonics,Silicon Photonics & Optical I/O,2
c_190,si_photonics,Silicon Photonics & Optical I/O,2
c_196,si_photonics,Silicon Photonics & Optical I/O,2
c_197,si_photonics,Silicon Photonics & Optical I/O,2
c_198,si_photonics,Silicon Photonics & Optical I/O,2
c_199,si_photonics,Silicon Photonics & Optical I/O,2
c_2,si_photonics,Silicon Photonics & Optical I/O,2
c_200,si_photonics,Silicon Photonics & Optical I/O,2
c_203,si_photonics,Silicon Photonics & Optical I/O,2
c_204,si_photonics,Silicon Photonics & Optical I/O,2
c_205,si_photonics,Silicon Photonics & Optical I/O,2
c_208,si_photonics,Silicon Photonics & Optical I/O,2
c_211,si_photonics,Silicon Photonics & Optical I/O,2
c_226,si_photonics,Silicon Photonics & Optical I/O,2
c_227,si_photonics,Silicon Photonics & Optical I/O,2
c_234,si_photonics,Silicon Photonics & Optical I/O,2
c_235,si_photonics,Silicon Photonics & Optical I/O,2
c_236,si_photonics,Silicon Photonics & Optical I/O,2
c_237,si_photonics,Silicon Photonics & Optical I/O,2
c_244,si_photonics,Silicon Photonics & Optical I/O,2
c_245,si_photonics,Silicon Photonics & Optical I/O,2
c_246,si_photonics,Silicon Photonics & Optical I/O,2
c_247,si_photonics,Silicon Photonics & Optical I/O,2
c_248,si_photonics,Silicon Photonics & Optical I/O,2
c_249,si_photonics,Silicon Photonics & Optical I/O,2
c_25,si_photonics,Silicon Photonics & Optical I/O,2
c_250,si_photonics,Silicon Photonics & Optical I/O,2
c_252,si_photonics,Silicon Photonics & Optical I/O,2
c_253,si_photonics,Silicon Photonics & Optical I/O,2
c_254,si_photonics,Silicon Photonics & Optical I/O,2
c_255,si_photonics,Silicon Photonics & Optical I/O,2
c_256,si_photonics,Silicon Photonics & Optical I/O,2
c_257,si_photonics,Silicon Photonics & Optical I/O,2
c_258,si_photonics,Silicon Photonics & Optical I/O,2
c_259,si_photonics,Silicon Photonics & Optical I/O,2
c_260,si_photonics,Silicon Photonics & Optical I/O,2
c_261,si_photonics,Silicon Photonics & Optical I/O,2
c_262,si_photonics,Silicon Photonics & Optical I/O,2
c_263,si_photonics,Silicon Photonics & Optical I/O,2
c_264,si_photonics,Silicon Photonics & Optical I/O,2
c_265,si_photonics,Silicon Photonics & Optical I/O,2
c_266,si_photonics,Silicon Photonics & Optical I/O,2
c_267,si_photonics,Silicon Photonics & Optical I/O,2
c_268,si_photonics,Silicon Photonics & Optical I/O,2
c_269,si_photonics,Silicon Photonics & Optical I/O,2
c_270,si_photonics,Silicon Photonics & Optical I/O,2
c_271,si_photonics,Silicon Photonics & Optical I/O,2
c_272,si_photonics,Silicon Photonics & Optical I/O,2
c_273,si_photonics,Silicon Photonics & Optical I/O,2
c_274,si_photonics,Silicon Photonics & Optical I/O,2
c_275,si_photonics,Silicon Photonics & Optical I/O,2
c_276,si_photonics,Silicon Photonics & Optical I/O,2
c_277,si_photonics,Silicon Photonics & Optical I/O,2
c_278,si_photonics,Silicon Photonics & Optical I/O,2
c_279,si_photonics,Silicon Photonics & Optical I/O,2
c_280,si_photonics,Silicon Photonics & Optical I/O,2
c_281,si_photonics,Silicon Photonics & Optical I/O,2
c_282,si_photonics,Silicon Photonics & Optical I/O,2
c_283,si_photonics,Silicon Photonics & Optical I/O,2
c_284,si_photonics,Silicon Photonics & Optical I/O,2
c_285,si_photonics,Silicon Photonics & Optical I/O,2
c_286,si_photonics,Silicon Photonics & Optical I/O,2
c_287,si_photonics,Silicon Photonics & Optical I/O,2
c_288,si_photonics,Silicon Photonics & Optical I/O,2
c_289,si_photonics,Silicon Photonics & Optical I/O,2
c_290,si_photonics,Silicon Photonics & Optical I/O,2
c_291,si_photonics,Silicon Photonics & Optical I/O,2
c_292,si_photonics,Silicon Photonics & Optical I/O,2
c_293,si_photonics,Silicon Photonics & Optical I/O,2
c_294,si_photonics,Silicon Photonics & Optical I/O,2
c_295,si_photonics,Silicon Photonics & Optical I/O,2
c_296,si_photonics,Silicon Photonics & Optical I/O,2
c_297,si_photonics,Silicon Photonics & Optical I/O,2
c_298,si_photonics,Silicon Photonics & Optical I/O,2
c_299,si_photonics,Silicon Photonics & Optical I/O,2
c_3,si_photonics,Silicon Photonics & Optical I/O,2
c_300,si_photonics,Silicon Photonics & Optical I/O,2
c_301,si_photonics,Silicon Photonics & Optical I/O,2
c_302,si_photonics,Silicon Photonics & Optical I/O,2
c_31,si_photonics,Silicon Photonics & Optical I/O,2
c_35,si_photonics,Silicon Photonics & Optical I/O,2
c_42,si_photonics,Silicon Photonics & Optical I/O,2
c_49,si_photonics,Silicon Photonics & Optical I/O,2
c_50,si_photonics,Silicon Photonics & Optical I/O,2
c_56,si_photonics,Silicon Photonics & Optical I/O,2
c_57,si_photonics,Silicon Photonics & Optical I/O,2
c_6,si_photonics,Silicon Photonics & Optical I/O,2
c_63,si_photonics,Silicon Photonics & Optical I/O,2
c_65,si_photonics,Silicon Photonics & Optical I/O,2
c_7,si_photonics,Silicon Photonics & Optical I/O,2
c_70,si_photonics,Silicon Photonics & Optical I/O,2
c_71,si_photonics,Silicon Photonics & Optical I/O,2
c_76,si_photonics,Silicon Photonics & Optical I/O,2
c_9,si_photonics,Silicon Photonics & Optical I/O,2
c_108,lasers,Lasers & Light Sources,3
c_118,lasers,Lasers & Light Sources,3
c_128,lasers,Lasers & Light Sources,3
c_130,lasers,Lasers & Light Sources,3
c_134,lasers,Lasers & Light Sources,3
c_145,lasers,Lasers & Light Sources,3
c_175,lasers,Lasers & Light Sources,3
c_176,lasers,Lasers & Light Sources,3
c_178,lasers,Lasers & Light Sources,3
c_182,lasers,Lasers & Light Sources,3
c_183,lasers,Lasers & Light Sources,3
c_184,lasers,Lasers & Light Sources,3
c_189,lasers,Lasers & Light Sources,3
c_191,lasers,Lasers & Light Sources,3
c_194,lasers,Lasers & Light Sources,3
c_195,lasers,Lasers & Light Sources,3
c_201,lasers,Lasers & Light Sources,3
c_202,lasers,Lasers & Light Sources,3
c_206,lasers,Lasers & Light Sources,3
c_207,lasers,Lasers & Light Sources,3
c_209,lasers,Lasers & Light Sources,3
c_21,lasers,Lasers & Light Sources,3
c_210,lasers,Lasers & Light Sources,3
c_212,lasers,Lasers & Light Sources,3
c_213,lasers,Lasers & Light Sources,3
c_218,lasers,Lasers & Light Sources,3
c_219,lasers,Lasers & Light Sources,3
c_98,lasers,Lasers & Light Sources,3
c_99,lasers,Lasers & Light Sources,3
c_125,neuromorphic,Neuromorphic / Brain-inspired,4
c_143,neuromorphic,Neuromorphic / Brain-inspired,4
c_147,neuromorphic,Neuromorphic / Brain-inspired,4
c_152,neuromorphic,Neuromorphic / Brain-inspired,4
c_153,neuromorphic,Neuromorphic / Brain-inspired,4
c_159,neuromorphic,Neuromorphic / Brain-inspired,4
c_163,neuromorphic,Neuromorphic / Brain-inspired,4
c_164,neuromorphic,Neuromorphic / Brain-inspired,4
c_167,neuromorphic,Neuromorphic / Brain-inspired,4
c_177,neuromorphic,Neuromorphic / Brain-inspired,4
c_192,neuromorphic,Neuromorphic / Brain-inspired,4
c_193,neuromorphic,Neuromorphic / Brain-inspired,4
c_228,neuromorphic,Neuromorphic / Brain-inspired,4
c_229,neuromorphic,Neuromorphic / Brain-inspired,4
c_231,neuromorphic,Neuromorphic / Brain-inspired,4
c_232,neuromorphic,Neuromorphic / Brain-inspired,4
c_233,neuromorphic,Neuromorphic / Brain-inspired,4
c_238,neuromorphic,Neuromorphic / Brain-inspired,4
c_239,neuromorphic,Neuromorphic / Brain-inspired,4
c_47,neuromorphic,Neuromorphic / Brain-inspired,4
c_72,neuromorphic,Neuromorphic / Brain-inspired,4
c_73,neuromorphic,Neuromorphic / Brain-inspired,4
c_74,neuromorphic,Neuromorphic / Brain-inspired,4
c_10,in_memory,In-Memory & Emerging Memory,5
c_100,in_memory,In-Memory & Emerging Memory,5
c_101,in_memory,In-Memory & Emerging Memory,5
c_103,in_memory,In-Memory & Emerging Memory,5
c_149,in_memory,In-Memory & Emerging Memory,5
c_150,in_memory,In-Memory & Emerging Memory,5
c_158,in_memory,In-Memory & Emerging Memory,5
c_179,in_memory,In-Memory & Emerging Memory,5
c_180,in_memory,In-Memory & Emerging Memory,5
c_187,in_memory,In-Memory & Emerging Memory,5
c_188,in_memory,In-Memory & Emerging Memory,5
c_220,in_memory,In-Memory & Emerging Memory,5
c_221,in_memory,In-Memory & Emerging Memory,5
c_222,in_memory,In-Memory & Emerging Memory,5
c_223,in_memory,In-Memory & Emerging Memory,5
c_224,in_memory,In-Memory & Emerging Memory,5
c_225,in_memory,In-Memory & Emerging Memory,5
c_230,in_memory,In-Memory & Emerging Memory,5
c_240,in_memory,In-Memory & Emerging Memory,5
c_241,in_memory,In-Memory & Emerging Memory,5
c_242,in_memory,In-Memory & Emerging Memory,5
c_243,in_memory,In-Memory & Emerging Memory,5
c_27,in_memory,In-Memory & Emerging Memory,5
c_33,in_memory,In-Memory & Emerging Memory,5
c_4,in_memory,In-Memory & Emerging Memory,5
c_43,in_memory,In-Memory & Emerging Memory,5
c_48,in_memory,In-Memory & Emerging Memory,5
c_5,in_memory,In-Memory & Emerging Memory,5
c_55,in_memory,In-Memory & Emerging Memory,5
c_58,in_memory,In-Memory & Emerging Memory,5
c_60,in_memory,In-Memory & Emerging Memory,5
c_75,in_memory,In-Memory & Emerging Memory,5
